step,dx,dz,volume,liquid_class,time,source,step_index,step_group_index,previous_step_index,destination,destination_group,group,previous_group
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,1,1,1,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,2,1,1,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,3,1,1,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,4,1,1,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,5,1,1,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,6,1,1,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,7,1,1,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,8,1,1,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,9,2,2,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,10,2,2,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,11,2,2,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,12,2,2,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,13,2,2,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,14,2,2,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,15,2,2,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,16,2,2,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,17,3,3,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,18,3,3,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,19,3,3,0
conjugate,13,0.2,1,watermix,-1,conj-CNB-3h8,1,1,0,20,3,3,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,1,1,4,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,2,1,4,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,3,1,4,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,4,1,4,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,5,1,4,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,6,1,4,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,7,1,4,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,8,1,4,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,9,2,5,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,10,2,5,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,11,2,5,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,12,2,5,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,13,2,5,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,14,2,5,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,15,2,5,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,16,2,5,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,17,3,6,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,18,3,6,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,19,3,6,0
capture,13,0.2,1,water,-1,cap-c-L-high,2,2,0,20,3,6,0
sample,13,0.2,5,plasmamix5,0,sample-neg-00,3,3,0,1,1,7,0
sample,13,0.2,5,plasmamix5,0,sample-neg-01,3,3,0,2,1,7,0
sample,13,0.2,5,plasmamix5,0,sample-pf-00,3,3,0,3,1,7,0
sample,13,0.2,5,plasmamix5,0,sample-pv-00,3,3,0,4,1,7,0
sample,13,0.2,5,plasmamix5,0,sample-pv-01,3,3,0,5,1,7,0
sample,13,0.2,5,plasmamix5,0,sample-neg-00,3,3,0,6,1,7,0
sample,13,0.2,5,plasmamix5,0,sample-neg-01,3,3,0,7,1,7,0
sample,13,0.2,5,plasmamix5,0,sample-pf-00,3,3,0,8,1,7,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,1,1,8,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,2,1,8,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,3,1,8,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,4,1,8,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,5,1,8,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,6,1,8,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,7,1,8,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,8,1,8,0
sample,13,0.2,5,plasmamix5,0,sample-pv-00,3,3,0,9,2,9,0
sample,13,0.2,5,plasmamix5,0,sample-pv-01,3,3,0,10,2,9,0
sample,13,0.2,5,plasmamix5,0,sample-neg-00,3,3,0,11,2,9,0
sample,13,0.2,5,plasmamix5,0,sample-neg-01,3,3,0,12,2,9,0
sample,13,0.2,5,plasmamix5,0,sample-pf-00,3,3,0,13,2,9,0
sample,13,0.2,5,plasmamix5,0,sample-pv-00,3,3,0,14,2,9,0
sample,13,0.2,5,plasmamix5,0,sample-pv-01,3,3,0,15,2,9,0
sample,13,0.2,5,plasmamix5,0,sample-neg-00,3,3,0,16,2,9,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,9,2,10,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,10,2,10,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,11,2,10,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,12,2,10,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,13,2,10,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,14,2,10,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,15,2,10,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,16,2,10,0
sample,13,0.2,5,plasmamix5,0,sample-neg-01,3,3,0,17,3,11,0
sample,13,0.2,5,plasmamix5,0,sample-pf-00,3,3,0,18,3,11,0
sample,13,0.2,5,plasmamix5,0,sample-pv-00,3,3,0,19,3,11,0
sample,13,0.2,5,plasmamix5,0,sample-pv-01,3,3,0,20,3,11,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,17,3,12,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,18,3,12,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,19,3,12,0
rb,0,1.0,75,pbst,1200,rb-current,4,3,0,20,3,12,0
imaging,24,0.0,0,imaging,600,camera,5,5,4,1,1,13,8
imaging,24,0.0,0,imaging,600,camera,5,5,4,2,1,13,8
imaging,24,0.0,0,imaging,600,camera,5,5,4,3,1,13,8
imaging,24,0.0,0,imaging,600,camera,5,5,4,4,1,13,8
imaging,24,0.0,0,imaging,600,camera,5,5,4,5,1,13,8
imaging,24,0.0,0,imaging,600,camera,5,5,4,6,1,13,8
imaging,24,0.0,0,imaging,600,camera,5,5,4,7,1,13,8
imaging,24,0.0,0,imaging,600,camera,5,5,4,8,1,13,8
imaging,24,0.0,0,imaging,600,camera,5,5,4,9,2,14,10
