source,volume_total,from_plate,from_well,step,step_index,volume_ul
cap-c-L-high,60.0,ivl_384_flat_v1_0001,1,capture,2,20.0
conj-CNB-3h8,60.0,ivl_384_flat_v1_0001,17,conjugate,1,20.0
sample-neg-00,60.0,ivl_384_flat_v1_0001,33,sample,3,20.0
sample-neg-01,60.0,ivl_384_flat_v1_0001,35,sample,3,20.0
sample-pf-00,60.0,ivl_384_flat_v1_0001,37,sample,3,20.0
sample-pv-00,60.0,ivl_384_flat_v1_0001,39,sample,3,20.0
sample-pv-01,60.0,ivl_384_flat_v1_0001,41,sample,3,20.0
rb-current,2300.0,ivl_1_flat_v1_0001,1,rb,4,1500.0
