solution,plate_well,user_input
rb-current,ivl_1_flat_v1_0001|1,6800.0
cap-c-H-low,ivl_384_flat_v1_0001|1,60.0
cap-d-L-high,ivl_384_flat_v1_0001|3,60.0
cap-d-L-low,ivl_384_flat_v1_0001|5,60.0
cap-d-M-high,ivl_384_flat_v1_0001|7,60.0
conj-CNB-3h8,ivl_96_dw_v1_0001|1,140.0
sample-neg-01,ivl_96_dw_v1_0001|10,140.0
sample-pf-00,ivl_96_dw_v1_0001|11,140.0
sample-pv-00,ivl_96_dw_v1_0001|12,140.0
sample-pv-01,ivl_96_dw_v1_0001|13,140.0
sample-neg-00,ivl_96_dw_v1_0001|9,140.0
